N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.5240650177002,1
3,1,,,,,,1
3,1,0.103558376578837,0.1237810221002596,46.0,34.0,1.813354730606079,1
4,2,,,,,,1
4,2,0.5466229765799905,0.62196070693048,575.0,609.0,856.3198802471161,1
5,1,0.0978618223182011,0.1197645273392433,385.0,264.0,126.6404790878296,0
5,1,0.0978618223182011,0.1197645273392433,336.0,261.0,154.89144253730774,1
5,1,,,,,,2
5,1,,,,,,3
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.55290865898127,0
5,1,,,,,,1
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.52988839149475,0
5,1,0.09786182231820115,0.11976452733924339,385.0,264.0,127.08914709091187,1
