N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE,METHOD
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.4404072761535645,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.400782823562622,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.395320892333984,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.392879962921143,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.388553619384766,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.397236347198486,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.39195990562439,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.386932373046875,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.375119209289551,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.38360071182251,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.328317880630493,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.3224709033966064,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.944397211074829,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.342020034790039,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.325902223587036,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.308160781860352,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.313798904418945,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.348698139190674,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.311620473861694,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.326059103012085,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.381709098815918,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.375850200653076,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.3640525341033936,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.363261461257935,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.382259368896484,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.370192289352417,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.390666723251343,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.381174325942993,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.395057201385498,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.392105340957642,,,,,1.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2687487602233887,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2489583492279053,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.275663137435913,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.260387897491455,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.264127016067505,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2622225284576416,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2708919048309326,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2625417709350586,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2589645385742188,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.271240711212158,,,,,2.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.408125638961792,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402438402175903,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.406580924987793,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402036666870117,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.416178226470947,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.417393684387207,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.405020713806152,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.4128851890563965,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.368123292922974,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.398340702056885,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.414534091949463,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.39427924156189,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.403247833251953,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.408267974853516,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.377082109451294,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.405553817749023,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402947664260864,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.377188682556152,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.366816282272339,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.380905628204346,,,,,4.0
