N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8859930038452148,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8759453296661377,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8574302196502688,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8765301704406736,3,-1.0,-1.0,-1.0,-1.0
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8782808780670168,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.91056752204895,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.21049857139588,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.30169558525085,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.332667350769043,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.46020793914795,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.29417943954468,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.2476818561554,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.18234157562256,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.35687565803528,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.94587516784668,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.21171402931213,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.210528135299683,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.151350498199463,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.432387590408325,3,-1.0,-1.0,-1.0,-1.0
3,2,0.0956569519218698,0.1174558366096758,189.0,198.0,30.266215801239014,3,-1.0,-1.0,-1.0,-1.0
3,3,0.1033107135120549,0.1232951899802401,971.0,887.0,441.845095872879,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,0.1033319849907599,0.1232951899802401,917.0,922.0,430.5652494430542,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,,,,,,3,-1.0,-1.0,-1.0,-1.0
3,3,0.1033319849907599,0.1232951899802401,995.0,974.0,445.0045318603516,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.7490744590759,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.5836327075958,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.9105508327484,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,382.7711248397827,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.9424967765808,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.6671235561371,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.9398605823517,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.6391415596008,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.2519476413727,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.0806016921997,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.0928063392639,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,383.55342531204224,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.088583946228,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.95606446266174,3,-1.0,-1.0,-1.0,-1.0
3,4,140000.0,-140000.0,181.0,192.0,384.46049308776855,3,-1.0,-1.0,-1.0,-1.0
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.518009185791016,3,-1.0,-1.0,-1.0,-1.0
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.44820547103882,3,-1.0,-1.0,-1.0,-1.0
