N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002596,61.0,39.0,2.821979761123657,0,2.0,3.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,61.0,39.0,3.46023178100586,0,2.0,3.0,1e-07,0.01
3,1,0.103611687570055,0.1237810221002596,54.0,39.0,2.478601694107056,0,2.0,3.0,1e-05,0.01
3,1,0.1035583765795518,0.1151720469469955,45.0,33.0,2.23990249633789,0,2.0,3.0,0.01,0.01
3,1,,,,,,1,0.0,1.0,1e-09,1e-09
3,1,,,,,,1,0.0,1.0,1e-07,1e-09
3,1,,,,,,1,0.0,1.0,1e-05,1e-09
3,1,0.1035583765792172,0.1237810221002596,49.0,51.0,3.5643885135650635,1,0.0,1.0,0.01,1e-09
3,1,,,,,,1,0.0,1.0,1e-09,1e-07
3,1,,,,,,1,0.0,1.0,1e-07,1e-07
3,1,,,,,,1,0.0,1.0,1e-05,1e-07
3,1,0.103558376578837,0.1237810221002596,53.0,51.0,3.711478710174561,1,0.0,1.0,0.01,1e-07
3,1,,,,,,1,0.0,1.0,1e-09,1e-05
3,1,,,,,,1,0.0,1.0,1e-07,1e-05
3,1,,,,,,1,0.0,1.0,1e-05,1e-05
3,1,0.1035583765793912,0.1237810221002596,55.0,51.0,3.3760128021240234,1,0.0,1.0,0.01,1e-05
3,1,,,,,,1,0.0,1.0,1e-09,0.01
3,1,,,,,,1,0.0,1.0,1e-07,0.01
3,1,,,,,,1,0.0,1.0,1e-05,0.01
3,1,0.1035583765784818,0.1237810221003591,43.0,37.0,3.3422691822052,1,0.0,1.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,38.0,37.0,3.2474327087402344,1,0.0,2.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,38.0,37.0,3.2187435626983643,1,0.0,2.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,38.0,37.0,3.131222724914551,1,0.0,2.0,1e-05,1e-09
3,1,0.103558376578837,0.1237810220998191,38.0,29.0,3.053400039672852,1,0.0,2.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.467578887939453,1,0.0,2.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.213061809539795,1,0.0,2.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.2193024158477783,1,0.0,2.0,1e-05,1e-07
3,1,0.1035583765792172,0.1237810220998191,38.0,29.0,3.0280110836029053,1,0.0,2.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.537025213241577,1,0.0,2.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.47764539718628,1,0.0,2.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,48.0,37.0,3.417869806289673,1,0.0,2.0,1e-05,1e-05
3,1,0.1035583765792172,0.1237810220998191,38.0,29.0,2.8000481128692627,1,0.0,2.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,46.0,37.0,3.291621685028076,1,0.0,2.0,1e-09,0.01
